"name","published_day","avg_view_count"
"전쓰트","Wednesday","202631.92"
"정동글","Thursday","46914.40"
"정동글","Friday","45274.29"
"정동글","Sunday","45199.74"
"정동글","Saturday","43741.67"
"정동글","Tuesday","40834.33"
"정동글","Monday","40330.21"
"정동글","Wednesday","39523.72"
"제갈병춘","Monday","405551.55"
"제갈병춘","Saturday","387030.77"
"제갈병춘","Wednesday","381944.11"
"제갈병춘","Sunday","370707.97"
"제갈병춘","Friday","354431.68"
"제갈병춘","Tuesday","339900.71"
"제갈병춘","Thursday","275731.05"
"종원TV","Thursday","28375.79"
"종원TV","Wednesday","21362.47"
"종원TV","Monday","19977.99"
"종원TV","Friday","18843.04"
"종원TV","Saturday","18002.74"
"종원TV","Tuesday","17453.10"
"종원TV","Sunday","15820.99"
"죠니월드","Saturday","198111.14"
"죠니월드","Sunday","196982.13"
"죠니월드","Friday","160120.83"
"죠니월드","Thursday","154349.52"
"죠니월드","Tuesday","151892.28"
"죠니월드","Wednesday","128055.06"
"죠니월드","Monday","119631.20"
"지명","Thursday","108784.00"
"지명","Sunday","61445.59"
"지명","Friday","55054.80"
"지명","Wednesday","54873.21"
"지명","Tuesday","48486.15"
"지명","Saturday","44760.81"
"지명","Monday","44403.64"
"지보배","Wednesday","35743.20"
"지보배","Monday","30456.08"
"지보배","Thursday","28874.40"
"지보배","Tuesday","28776.15"
"지보배","Sunday","28601.82"
"지보배","Friday","27303.27"
"지보배","Saturday","25180.46"
"추털이","Friday","171476.72"
"추털이","Sunday","150798.00"
"추털이","Wednesday","142940.16"
"추털이","Thursday","135976.22"
"추털이","Tuesday","121073.90"
"추털이","Monday","119181.94"
"추털이","Saturday","108251.69"
"코뚱잉","Monday","283299.64"
"코뚱잉","Saturday","239549.01"
"코뚱잉","Wednesday","220212.22"
"코뚱잉","Thursday","205086.21"
"코뚱잉","Tuesday","196217.33"
"코뚱잉","Sunday","183490.94"
"코뚱잉","Friday","176579.14"
"프로젝트롤","Monday","23547.00"
"프로젝트롤","Tuesday","23112.00"
"프로젝트롤","Sunday","19741.00"
"프로젝트롤","Saturday","19363.29"
"프로젝트롤","Thursday","6488.00"
"프로젝트롤","Friday","5450.75"
"프로젝트롤","Wednesday","3090.00"
"피닉스박","Tuesday","114728.08"
"피닉스박","Monday","114192.49"
"피닉스박","Saturday","112476.74"
"피닉스박","Sunday","110081.66"
"피닉스박","Thursday","107849.11"
"피닉스박","Wednesday","102980.61"
"피닉스박","Friday","99653.54"
"핑맨","Tuesday","255854.95"
"핑맨","Thursday","251924.67"
"핑맨","Saturday","241672.40"
"핑맨","Monday","226337.92"
"핑맨","Wednesday","219947.04"
"핑맨","Sunday","218653.51"
"핑맨","Friday","214872.57"
"핑크자크","Wednesday","5715.06"
"핑크자크","Tuesday","5586.85"
"핑크자크","Saturday","5499.63"
"핑크자크","Friday","4737.44"
"핑크자크","Sunday","4595.33"
"핑크자크","Thursday","3877.47"
"핑크자크","Monday","3603.64"
"학살","Thursday","132659.17"
"학살","Monday","131779.31"
"학살","Wednesday","123073.81"
"학살","Saturday","122661.54"
"학살","Tuesday","119616.39"
"학살","Sunday","119321.71"
"학살","Friday","115888.23"
"한동숙","Saturday","112754.17"
"한동숙","Sunday","106479.60"
"한동숙","Thursday","99366.87"
"한동숙","Wednesday","90792.04"
"한동숙","Friday","87843.84"
"한동숙","Tuesday","87307.26"
"한동숙","Monday","75309.62"
"헤이스트","Monday","105015.09"
"헤이스트","Tuesday","94892.92"
"헤이스트","Thursday","93791.41"
"헤이스트","Sunday","80387.38"
"헤이스트","Saturday","80162.81"
"헤이스트","Wednesday","76513.46"
"헤이스트","Friday","72605.28"
"후즈","Monday","432.33"
"후즈","Tuesday","380.93"
"후즈","Friday","370.51"
"후즈","Thursday","280.03"
"후즈","Sunday","246.22"
"후즈","Wednesday","237.73"
"후즈","Saturday","229.34"
"흐쟁이","Wednesday","32249.90"
"흐쟁이","Tuesday","31457.39"
"흐쟁이","Sunday","31053.13"
"흐쟁이","Saturday","30731.15"
"흐쟁이","Monday","30563.40"
"흐쟁이","Friday","29673.45"
"흐쟁이","Thursday","27284.31"
